id,winery,wine,year,rating,num_reviews,num_reviews_grp,region,price,type,body,acidity,acidity_level,taste,accomp_meal,category,alcohol_percentage,uds_vino,description
1,"Descendientes de J. Palacios","La Faraona Bierzo (Corullon)",2010,4.6,28,"not important at all",Bierzo,3119.08,Red,4,3,high,dry,,Red,13.5,4,"La Faraona Bierzo from Descendientes de J. Palacios is known for its intense. complex. and fruity flavor profile. It is a dry wine with moderate tannins and a good acidity level. The fruit flavors may include dark cherry. blackberry. and plum. with hints of spice and earthy undertones. This wine is best accompanied by rich and hearty dishes such as grilled or roasted meats. stews. and strong cheeses."
2,"Vega Sicilia",Unico,1965,4.6,218,"not important at all","Ribera del Duero",2884.04,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
3,"Bodega Numanthia",Termanthia,2004,4.7,108,"not important at all",Toro,2814.16,"Toro Red",5,3,high,tannic,,Red,14.5,4,"Toro red wine is typically known for its full-bodied and tannic flavor profile. often with notes of dark fruit. spice. and sometimes a hint of earthiness. Overall. it is considered a bold and robust wine with a complex flavor profile."
4,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2010,4.6,60,"not important at all",Priorato,2750,"Priorat Red",4,3,high,dry,,Red,14.5,3,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
5,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2011,4.6,27,"not important at all",Priorato,2750,"Priorat Red",4,3,high,dry,,Red,14.5,4,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
6,"Vega Sicilia",Unico,1968,4.7,225,"not important at all","Ribera del Duero",2087.25,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,2,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
7,"Dominio de Pingus",Pingus,2005,4.6,293,"not important at all","Ribera del Duero",1785.96,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,1,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
8,"Dominio de Pingus",Pingus,1996,4.6,102,"not important at all","Ribera del Duero",1746.94,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,2,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
9,"Dominio de Pingus",Pingus,1999,4.7,184,"not important at all","Ribera del Duero",1715.18,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,3,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
10,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2014,4.6,30,"not important at all",Priorato,1660,"Priorat Red",4,3,high,dry,,Red,14.5,4,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
11,"Dominio de Pingus",Pingus,2003,4.6,205,"not important at all","Ribera del Duero",1638.95,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
12,"Vega Sicilia",Unico,1962,4.8,295,"not important at all","Ribera del Duero",1620,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
13,"Dominio de Pingus",Pingus,2014,4.6,172,"not important at all","Ribera del Duero",1595,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
14,"Dominio de Pingus",Pingus,2000,4.6,122,"not important at all","Ribera del Duero",1503,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,6,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
15,"Dominio de Pingus",Pingus,2004,4.7,285,"not important at all","Ribera del Duero",1500,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,15,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
16,"Vega Sicilia","Unico Reserva Especial Edicion",1995,4.7,196,"not important at all","Ribera del Duero",1500,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
17,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2000,4.7,132,"not important at all",Priorato,1422.96,"Priorat Red",4,3,high,dry,,Red,14,5,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
18,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2005,4.7,67,"not important at all",Priorato,1410.26,"Priorat Red",4,3,high,dry,,Red,14.5,6,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
19,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2004,4.8,87,"not important at all",Priorato,1410.26,"Priorat Red",4,3,high,dry,,Red,14,5,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
20,"Vega Sicilia",Unico,1964,4.7,214,"not important at all","Ribera del Duero",1384.54,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
21,"Descendientes de J. Palacios","La Faraona Bierzo (Corullon)",2015,4.5,36,"not important at all",Bierzo,1373.66,Red,4,3,high,dry,,Red,13.5,5,"La Faraona Bierzo from Descendientes de J. Palacios is known for its intense. complex. and fruity flavor profile. It is a dry wine with moderate tannins and a good acidity level. The fruit flavors may include dark cherry. blackberry. and plum. with hints of spice and earthy undertones. This wine is best accompanied by rich and hearty dishes such as grilled or roasted meats. stews. and strong cheeses."
22,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2003,4.5,46,"not important at all",Priorato,1372.14,"Priorat Red",4,3,high,dry,,Red,14.5,6,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
23,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",1996,4.6,150,"not important at all",Priorato,1372.14,"Priorat Red",4,3,high,dry,,Red,14,2,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
24,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",1998,4.7,171,"not important at all",Priorato,1372.14,"Priorat Red",4,3,high,dry,,Red,13.5,4,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
25,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",1995,4.6,122,"not important at all",Priorato,1372.14,"Priorat Red",4,3,high,dry,,Red,13.5,5,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
26,"Dominio de Pingus",Pingus,2010,4.6,410,"not important at all","Ribera del Duero",1359.75,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,15,6,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
27,"Dominio de Pingus",Pingus,1998,4.6,244,"not important at all","Ribera del Duero",1350,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,3,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
28,"Teso La Monja",Tinto,2010,4.7,102,"not important at all",Toro,1325,"Toro Red",5,3,high,tannic,,Red,14.5,2,"Toro red wine is typically known for its full-bodied and tannic flavor profile. often with notes of dark fruit. spice. and sometimes a hint of earthiness. Overall. it is considered a bold and robust wine with a complex flavor profile."
29,"Teso La Monja",Tinto,2011,4.8,32,"not important at all",Toro,1295,"Toro Red",5,3,high,tannic,,Red,15,7,"Toro red wine is typically known for its full-bodied and tannic flavor profile. often with notes of dark fruit. spice. and sometimes a hint of earthiness. Overall. it is considered a bold and robust wine with a complex flavor profile."
30,"Teso La Monja",Tinto,2015,4.8,28,"not important at all",Toro,1289.44,"Toro Red",5,3,high,tannic,,Red,12,4,"Toro red wine is typically known for its full-bodied and tannic flavor profile. often with notes of dark fruit. spice. and sometimes a hint of earthiness. Overall. it is considered a bold and robust wine with a complex flavor profile."
31,"Dominio de Pingus",Pingus,2016,4.8,145,"not important at all","Ribera del Duero",1280,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,1,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
32,"Teso La Monja",Tinto,2008,4.6,87,"not important at all",Toro,1260,"Toro Red",5,3,high,tannic,,Red,15,2,"Toro red wine is typically known for its full-bodied and tannic flavor profile. often with notes of dark fruit. spice. and sometimes a hint of earthiness. Overall. it is considered a bold and robust wine with a complex flavor profile."
33,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2015,4.7,82,"not important at all",Priorato,1252.35,"Priorat Red",4,3,high,dry,,Red,14,5,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
34,"Dominio de Pingus",Pingus,2018,4.6,47,"not important at all","Ribera del Duero",1250,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,6,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
35,"Dominio de Pingus",Pingus,2015,4.7,203,"not important at all","Ribera del Duero",1250,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
36,"Vega Sicilia","Unico Reserva Especial Edicion",1982,4.6,39,"not important at all","Ribera del Duero",1238.43,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
37,"Vega Sicilia",Unico,1953,4.7,89,"not important at all","Ribera del Duero",1207.6,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
38,"Dominio de Pingus",Pingus,2013,4.6,323,"not important at all","Ribera del Duero",1198.72,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
39,"Dominio de Pingus",Pingus,2006,4.7,280,"not important at all","Ribera del Duero",1190,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,15.5,1,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
40,"Teso La Monja",Tinto,2012,4.8,56,"not important at all",Toro,1190,"Toro Red",5,3,high,tannic,,Red,15,2,"Toro red wine is typically known for its full-bodied and tannic flavor profile. often with notes of dark fruit. spice. and sometimes a hint of earthiness. Overall. it is considered a bold and robust wine with a complex flavor profile."
41,"Vega Sicilia","Unico Reserva Especial Edicion",1985,4.8,70,"not important at all","Ribera del Duero",1182.77,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,1,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
42,"Bodega Contador (Benjamin Romeo)","Contador Rioja",2005,4.7,112,"not important at all",Rioja,1150,"Rioja Red",4,3,high,dry,,Red,15,6,"Spanish Rioja Red wine is known for its complex flavor profile that typically includes both fruity and earthy notes. Rioja wines are often described as having a medium to full body with moderate acidity and tannins. The flavor profile can vary depending on the aging process. with younger Riojas tending to have more fruity notes and oak-aged Riojas having more earthy and spicy notes. Overall. Rioja wines are considered versatile and pair well with a range of dishes."
43,"Dominio de Pingus",Pingus,2017,4.8,52,"not important at all","Ribera del Duero",1150,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14.5,2,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
44,"Vega Sicilia","Unico Reserva Especial Edicion",1986,4.7,63,"not important at all","Ribera del Duero",1113.2,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
45,"Vega Sicilia",Unico,1967,4.6,123,"not important at all","Ribera del Duero",1106.24,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
46,"Vega Sicilia",Unico,1961,4.6,50,"not important at all","Ribera del Duero",1099.28,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13,8,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
47,"Descendientes de J. Palacios","La Faraona Bierzo (Corullon)",2017,4.8,26,"not important at all",Bierzo,1098.9,Red,4,3,high,dry,,Red,13.5,7,"La Faraona Bierzo from Descendientes de J. Palacios is known for its intense. complex. and fruity flavor profile. It is a dry wine with moderate tannins and a good acidity level. The fruit flavors may include dark cherry. blackberry. and plum. with hints of spice and earthy undertones. This wine is best accompanied by rich and hearty dishes such as grilled or roasted meats. stews. and strong cheeses."
48,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2018,4.8,26,"not important at all",Priorato,1094.9,"Priorat Red",4,3,high,dry,,Red,14.5,9,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
49,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",1997,4.6,127,"not important at all",Priorato,1080,"Priorat Red",4,3,high,dry,,Red,13.5,5,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
50,"Vega Sicilia","Unico Reserva Especial Edicion",1987,4.7,100,"not important at all","Ribera del Duero",1071.45,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,14,4,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
51,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2008,4.8,40,"not important at all",Priorato,1021.21,"Priorat Red",4,3,high,dry,,Red,14.5,6,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
52,"Bodegas Valduero","Ribera Del Duero Gran Reserva 12 Anos",1999,4.8,68,"not important at all","Ribera del Duero",999,"Ribera Del Duero Red",5,3,high,tannicfruity,,Red,13.5,5,"Ribera del Duero red wine is typically characterized as full-bodied and complex. with high tannins and acidity. It often displays flavors of dark fruit such as blackberry and plum. as well as herbal and spicy notes. Overall. it can be classified as a tannic and fruity wine."
53,"Teso La Monja",Tinto,2013,4.9,58,"not important at all",Toro,995,"Toro Red",5,3,high,tannic,,Red,15,4,"Toro red wine is typically known for its full-bodied and tannic flavor profile. often with notes of dark fruit. spice. and sometimes a hint of earthiness. Overall. it is considered a bold and robust wine with a complex flavor profile."
54,"Clos Erasmus",Priorat,1998,4.5,43,"not important at all",Priorato,993.28,"Priorat Red",4,3,high,dry,,Red,15,5,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
55,"Clos Erasmus",Priorat,2003,4.6,41,"not important at all",Priorato,993.28,"Priorat Red",4,3,high,dry,,Red,15,6,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
56,"Alvaro Palacios","L'Ermita Velles Vinyes Priorat",2017,4.8,31,"not important at all",Priorato,992.2,"Priorat Red",4,3,high,dry,,Red,14,5,"Priorat red wines are typically known for their full-bodied. complex and intense flavor profiles. They tend to be high in tannins and acidity. with rich fruit flavors such as black cherry. plum. and blackberry. as well as herbal and earthy notes such as licorice. tobacco. and leather. Overall. they are considered dry and bold wines with a long finish."
